"identifiant","nature_contrat","localisation_emploi","region_emploi","entreprise_groupe","groupe","intitule_emploi","remuneration_annuelle_brute","prime","remuneration_prime","taille_entreprise_premier_emploi","secteur_premiere_entreprise","status_cadre_premier_emploi","nom_entreprise_premier_emploi"
1757617280501340,"CDD (contrat de travail à durée déterminée)","A l'étranger","","Oui","Freedman Electronics","Embedded Software Engineer",31722,"Non",31722,"","","",""
1789196359781300,"","","","","","",NA,"",NA,"","","",""
1783297923299510,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Stäubli International AG","Ingénieur Logiciel",NA,"",NA,"","Autres activités spécialisées, scientifiques et techniques","Oui","Stäubli Faverges"
1882421169635880,"CDD (contrat de travail à durée déterminée)","En France","Provence-Alpes-Côte d'Azur","Non","","Développement d'une solution de navigation autonome",30000,"Non",30000," Moins de 10 salarié(e)s ","Industrie des technologies de l'Information et de la Communication (TIC)","Oui","Captain robot"
1783297988373250,"CDD (contrat de travail à durée déterminée)","En France","Auvergne-Rhône-Alpes","Oui","Eaton","Ingénieur chargé d'étude R&D",34000,"Non",34000,"250 à  4 999 salarié(e)s ","Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)","Oui","Cooper Eaton"
1793786671051110,"","","","","","",NA,"",NA,"5 000 salarié(e)s ou plus","Industrie des technologies de l'Information et de la Communication (TIC)","Oui","UL Transaction Security"
1776106957262200,"","","","","","",NA,"",NA,"","","",""
1767193880992300,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Pays de la Loire","Oui","Advans Group","Ingénieur logiciel embarqué bas niveau",32000,"Non",32000,"","","",""
1776166978309990,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Normandie","Oui","Lesaffre","ingénieur production séchage industriel",30000,"Oui",32000,"5 000 salarié(e)s ou plus","Industrie agroalimentaire ","Non","Alliance Océane"
1793838194320470,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Grand Est","Non","","Planificateur - ordonnanceur",28000,"Oui",30000,"","","",""
1783039467983410,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","Grand Frais","Ingénieur Qualité",27000,"Non",27000,"De 50 à 249 salarié(e)s ","Commerce","Oui","Brake"
1782592354372700,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Auvergne-Rhône-Alpes","Oui","","QHSE Coordinator",34000,"Oui",50000," Moins de 10 salarié(e)s ","Industrie agroalimentaire ","Non",""
1788516592358550,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Vivescia","Chef de produit",28800,"Oui",31200,"","","",""
1888516386336950,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Hauts-de-France","Oui","Holder ","Chef d'equipe ",25920,"Non",25920,"","","",""
1775257602685030,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Provence-Alpes-Côte d'Azur","Oui","M&L","Responsable d'équipe",36000,"Oui",40000,"De 20 à 49 salarié(e)s ","Sociétés de conseil, bureaux d'études","Oui","Better human cie"
1899261169113090,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Nouvelle-Aquitaine","Oui","Lindt & Sprüngli ","Chef d'équipe",NA,"Oui",NA,"","","",""
1776615758564050,"CDI (contrat de travail à durée indéterminée) y compris CDIC","En France","Île-de-France","Oui","Novartis","Chargée de matério/pharmaco-vigilance",32000,"Oui",35000,"250 à  4 999 salarié(e)s ","Industrie agroalimentaire ","Non","Danone"
