"identifiant","remuneration_annuelle_brute","sexe","date_diplome","filiere","nationalite_francaise","nationalite","prime","remuneration_prime","remuneration_annuelle_brute_hors_prime_premier_emploi","prime_premier_emploi","remuneration_annuelle_brute_avec_prime_premier_emploi"
"1776106717098990",30666.6666666667,"Homme",2019,"MEA","Oui","","Oui",31333.3333333333,NA,"",NA
"1776106723950220",35510,"Homme",2020,"STE","Oui","","Oui",38833.3333333333,NA,"",NA
"1776106790932630",31500,"Homme",2021,"MEA","Oui","","Oui",32500,NA,"",NA
"1776106799883870",35500,"Femme",2020,"MAT","Oui","","Oui",38900,35500,"",38000
"1776106802247870",27049,"Femme",2019,"EGC-app","Oui","","Oui",27549,NA,"",NA
"1776106806689780",37392,"Homme",2020,"EGC-app","Oui","","Oui",41250,NA,"",NA
"1776106867791450",35250,"Homme",2021,"MI","Oui","","Non",36000,NA,"",NA
"1776106868424380",22000,"Homme",2021,"MI","Oui","","",22000,NA,"",NA
"1776106871435680",36500,"Homme",2019,"EGC-app","Oui","","Non",37250,37500,"",39000
"1776106879687360",39181.3333333333,"Homme",2020,"IG","Oui","","Non",45514.6666666667,36000,"",36000
"1776107021330320",44000,"Homme",2020,"IG","","","",44000,29000,"Non",29000
"1776166903795880",38500,"Femme",2019,"GBA","Oui","","Oui",42500,NA,"",NA
"1776166903900530",36080,"Femme",2021,"MEA","Oui","","Oui",38822,NA,"",NA
"1776166906953760",36333.3333333333,"Homme",2020,"MI","Oui","","Non",37333.3333333333,35000,"",35000
"1776166914449430",31200,"Femme",2019,"EGC-app","Oui","","Oui",33800,NA,"",NA
"1776166978376740",30000,"Femme",2020,"GBA","Oui","","Non",30000,NA,"Non",NA
"1776166979781670",78000,"Femme",2020,"MEA","Non","Suisse","",78000,30600,"",30600
"1776166991066590",25980,"Femme",2018,"GBA","Oui","","Oui",28000,NA,"",NA
"1776166991759020",32500,"Femme",2021,"MEA","Oui","","Non",32500,NA,"",NA
"1776167053468420",38000,"Femme",2020,"GBA","Oui","","Oui",40000,38000,"",39000
"1776167055017630",35666.6666666667,"Femme",2020,"GBA","Oui","","Oui",38333.3333333333,NA,"",NA
"1776167057227520",30000,"Femme",2019,"MAT","Oui","","",30000,NA,"",NA
"1776167060979250",63000,"Femme",2020,"SE-app","Oui","","",63000,NA,"",NA
"1776167061760460",36866.6666666667,"Femme",2020,"SE-app","Oui","","Non",36866.6666666667,NA,"",NA
"1776167064812550",40000,"Femme",2018,"GBA","Oui","","",40000,NA,"",NA
"1776167130842340",32000,"Femme",2021,"GBA","Oui","","",34666,NA,"",NA
"1776167142122940",32974,"Femme",2020,"IG","Oui","","Oui",37346,NA,"",NA
"1776167142926850",28600,"Femme",2018,"STE","Oui","","Oui",31000,31000,"",31000
"1776170062868870",40500,"Homme",2019,"IG","Oui","","Non",40500,NA,"",NA
