Genre,identifiant,nationalite_francaise,nationalite,date_diplome,type_formation,filiere,situation_actuelle,en_recherche_emploi,temps_recherche_emploi,refus_emploi,difficultes_recherche,alternance,post_actuel,autre_activite,statut_emploi,nature_contrat,duree_CDD,localisation_emploi,region_emploi,pays_localisation,mois_emploi_occupe,jours_télétravail,nom_entreprise,Nombre de salarié(e)s de votre entreprise(cellei qui vous rémunère),entreprise_groupe,groupe,departement_emploi,intitule_emploi,cadre,secteur_activite_entreprise,domaine_general_entreprise,langage_programmation,emploi_lie_energie_renouvelable,salaire_annuel_brut,prime,salaire_annuel_brut_prime,responsabilite_hierarchie,responsabilite_budget,responsabilite_equipe,responsabilite ,international,langue_français,langue_anglais,temps_trouve_emploi,moyen_trouver_emploi,critere_choix_emploi,emploi_niveau_qualification,emploi_formation,satisfaction_emploi,condition_travail,relation_collegues,niveau_remuneration,niveau_autonomie,jugement_localisation,recherche_nouvel_emploi,raisons_recherche_emploi,Unnamed: 133,situation_sortie_polytech,temps_trouve_premier_emploi,post_premier_emploi,nature_contrat,condition_fin_premier_contrat,intitule_premier_emploi,location_premier_emploi,region_premier_emploi,nom_entreprise_premier_emploi,taille_entreprise_premier_emploi,premiere_entreprise_groupe,premier_groupe,secteur_premiere_entreprise,mois_premiere_entreprise,status_cadre_premier_emploi,temps_partiel_premier_emploi,moyen_trouver_premier_emploi,critere_choix_premier_emploi,remuneration_annuelle_brute_premier_emploi,prime_premier_emploi,remuneration_prime_premier_emploi,satisfaction_premier_emploi,impact_covid,satisfaction_formation,ig_avantage_double_competence,ig_membre_reseau,recommandation_polytech
Femme,1794381878360180,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,30.0,5.0,Egis Structures & Environnement,5 000 salarié(e)s ou plus,Oui,Egis,Commercial(e) (dont ingénieur(e) d'affaire) ,Ingénieure Chargée d'Etudes,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,34000.0,Oui,35500.0,OUI,OUI,NON,OUI,Oui,,Souvent (plusieurs heures par semaine),,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,non,,5.0,5.0,2.0,4.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1767473052660650,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,6.0,5.0,Genapi,De 50 à 249 salarié(e)s ,Oui,Septeo,Etudes et développement en systèmes d'information ,Developpeur,Oui,"Activités juridiques, comptables, de gestion, d'architecture, d'ingénierie, de contrôle et d'analyses techniques",,,,34000.0,Oui,36000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,stage de fin d'études,L'absence d'alternative,non,oui,2.0,4.0,5.0,2.0,2.0,4.0,Non,,Pas du tout d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Moins d'offres d'emploi,4.0,NON,NON,Oui
Homme,1903737113808890,Non,Ivoirienne,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,18.0,4.0,Urbasolar,250 à  4 999 salarié(e)s ,Oui,Axpo,Informatique industrielle et technique ,Développeur Backend,Oui,"Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné)",,,,34000.0,Oui,34000.0,,,,OUI,Non,Quotidiennement,Très rarement,,stage de fin d'études,Le lieu géographique ,oui,oui,4.0,4.0,5.0,2.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,NON,NON,Oui
Homme,1793786662071540,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,24.0,5.0,ALTEN SO,250 à  4 999 salarié(e)s ,Non,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur d'étude - Consultant en Qualité,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Divers,,,34000.0,Oui,37000.0,OUI,NON,OUI,OUI,Oui,Quotidiennement,Quotidiennement,,Démarché(e) par un 'chasseur de têtes',Développement de l'expérience,non,non,3.0,2.0,5.0,3.0,4.0,3.0,Oui,"Au bout de deux ans d'expérience, j'ai besoin de changements. Me rapprocher plus du 'technique'.",Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Report d'une évolution de carrière|Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1776621631160250,Oui,,2018,Formation initiale (hors apprentissage),Matériaux (MAT),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,26.0,0.0,Altran,5 000 salarié(e)s ou plus,Oui,Capgemini,"Qualité, sécurité, sûreté de fonctionnement ",Junior consultant & engineer,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",Transport,,,34000.0,Oui,34500.0,NON,NON,OUI,NON,Oui,Quotidiennement,Quotidiennement,,Démarché(e) par un 'chasseur de têtes',Le contenu de la mission / poste proposé,oui,oui,4.0,3.0,4.0,3.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Report d'une évolution de carrière|Prétention salariale revue,4.0,,,Oui
Femme,1776091965996580,Oui,,2020,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,6.0,5.0,Agap2,De 50 à 249 salarié(e)s ,Oui,,Etudes - Conseil et expertise (autre qu'informatique),Ingénieure consultante,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,34000.0,Oui,36000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,4.0,3.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Femme,1789078790593410,Oui,,2019,Sous contrat de professionalisation,Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,16.0,5.0,Elsys Design,250 à  4 999 salarié(e)s ,Oui,Advans Group,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur en système embarqué ,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,C,,34200.0,Oui,37900.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,3.0,4.0,4.0,,Non,,,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées,5.0,,,Oui
Homme,1767833242840040,Oui,,2020,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,5.0,0.0,Fondasol,250 à  4 999 salarié(e)s ,Non,Groupe fondasol,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Responsable service mesures,Oui,"Autres activités spécialisées, scientifiques et techniques",,,,34600.0,Oui,35300.0,OUI,OUI,OUI,OUI,Oui,Quotidiennement,Rarement (quelques fois par mois),,Apprentissage (embauche dans l'entreprise d'accueil du contrat),Le contenu de la mission / poste proposé,oui,non,4.0,4.0,5.0,4.0,5.0,3.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789078795547120,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,5.0,3.0,Henri Raffin,250 à  4 999 salarié(e)s ,Oui,Arpitan,"Méthodes, contrôle de production, maintenance",Ingénieur Méthodes et Process,Oui,Industrie agroalimentaire ,,,,34800.0,Oui,37700.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,Stage année césure / Contrat de professionnalisation,La politique globale de relations humaines dans l'entreprise ,oui,oui,4.0,4.0,4.0,4.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,,,,Oui
Homme,1783174101378910,Oui,,2020,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,2.0,0.0,Segula Technologies,5 000 salarié(e)s ou plus,Non,,Informatique industrielle et technique ,Ingenieur d'étude,Oui,"Industrie automobile, aéronautique, navale, ferroviaire",,,,34800.0,Non,34800.0,NON,NON,NON,OUI,Non,Quotidiennement,Jamais,De 2 à moins de 3 mois,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,5.0,5.0,5.0,5.0,5.0,4.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1766816750910820,Oui,,2019,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,17.0,2.0,Diagdev,De 20 à 49 salarié(e)s ,Oui,Diagnostica Stago,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur en électronique,Non,Recherche-développement scientifique,,,,34800.0,Non,34800.0,NON,NON,NON,NON,Non,Quotidiennement,Rarement (quelques fois par mois),Emploi trouvé avant l'obtention de votre diplôme,Apprentissage (embauche dans l'entreprise d'accueil du contrat),L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,3.0,3.0,5.0,Oui,Mes perspectives d'évolution me semblent limitées.,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1788522987504360,Oui,,2019,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,16.0,3.0,Zimmer Robotics (Medtech),De 50 à 249 salarié(e)s ,Oui,Zimmer Biomet,"Méthodes, contrôle de production, maintenance",Ingénieur Sustaining,Oui,Recherche-développement scientifique,,,,35000.0,Non,35000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,Moins d'un mois,Démarché(e) par un 'chasseur de têtes',L'adéquation avec un projet professionnel ,oui,non,5.0,4.0,4.0,4.0,4.0,3.0,Oui,Toujours être à l'écoute d'opportunités extérieurs ,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,5.0,,,Oui
Homme,1776170139518960,Oui,,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,19.0,,HR Team,De 50 à 249 salarié(e)s ,Non,,Etudes et développement en systèmes d'information ,Ingénieur Études & Développemment,Oui,Activités informatiques et services d'information (TIC services),,,,35000.0,Oui,37000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),Le lieu géographique ,oui,oui,3.0,5.0,4.0,3.0,4.0,5.0,Oui,"Ma SSII n'a plus de poste intéressant à me proposer et je souhaite trouver une mission plus stimulante, si possible éthique.",Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Chômage partiel / Réduction d'activité,4.0,NON,NON,Oui
Homme,1789139009510230,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,4.0,5.0,Ippon Technologies,De 50 à 249 salarié(e)s ,Oui,Ippon Technologies,Consultant Data Engineer,Data Engineer,Oui,Activités informatiques et services d'information (TIC services),,,,35000.0,Non,35000.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Les perspectives de carrière dans cette entreprise,oui,oui,4.0,5.0,4.0,4.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,OUI,NON,Oui
Homme,1875976728497210,Oui,,2019,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,16.0,5.0,Idean,De 50 à 249 salarié(e)s ,Oui,Capgemini Invent,Exploitation / maintenance informatique ,Software engineer,Oui,Activités informatiques et services d'information (TIC services),,,,35000.0,Oui,36500.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,stage de fin d'études,Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,5.0,4.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,NON,NON,Oui
Femme,1775413776498840,Oui,,2019,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Grand Est,,17.0,1.0,Gaggenau Industrie,250 à  4 999 salarié(e)s ,Oui,BSH,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieure Laboratoire Applications Culinaires,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",,,,35000.0,Non,35000.0,NON,NON,NON,NON,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,Stage année césure / Contrat de professionnalisation,Le montant du salaire proposé ,oui,oui,5.0,5.0,5.0,4.0,5.0,2.0,Oui,Rapprochement géographique éventuel,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1783101042651350,Oui,,2018,Formation initiale (hors apprentissage),Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,29.0,0.0,Electrosteel Europe SA,De 20 à 49 salarié(e)s ,Oui,Electrosteel Castings Limited,Etudes - Conseil et expertise (autre qu'informatique),Ingénieur Direction Technique,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Oui,35000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,3.0,3.0,5.0,4.0,3.0,3.0,Oui,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Chômage partiel / Réduction d'activité,4.0,,,Oui
Femme,1776167055017630,Oui,,2020,Sous contrat de professionalisation,Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Provence-Alpes-Côte d'Azur,,4.0,0.0,Capsum,De 50 à 249 salarié(e)s ,Non,,Production - Exploitation ,Ingénieur conditionnement ,Oui,Industrie chimique,,,,35000.0,Oui,40000.0,NON,NON,NON,OUI,Non,Quotidiennement,Très rarement,,"Réseau social professionnel (viadéo, Linkedln)",Le lieu géographique ,oui,oui,5.0,5.0,5.0,5.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1888522614738880,Oui,,2018,Formation initiale (hors apprentissage),Génie Biologique et Agroalimentaires (GBA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,12.0,0.0,Euralis Gastronomie,250 à  4 999 salarié(e)s ,Oui,Euralis,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Chef de projet R&D,Oui,Industrie agroalimentaire ,,,,35000.0,Oui,37000.0,NON,NON,NON,OUI,Non,Quotidiennement,Rarement (quelques fois par mois),,stage de fin d'études,Le lieu géographique ,oui,oui,5.0,4.0,5.0,3.0,4.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Chômage partiel / Réduction d'activité,5.0,,,Oui
Homme,1776166906953760,Oui,,2020,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Hauts-de-France,,3.0,2.0,Eau et Feu,De 20 à 49 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingénieur CoolFire,Oui,Autres secteurs ,,,,35000.0,Non,35000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,De 4 à moins de 5 mois,Site Internet spécialisé dans l'emploi (dont APEC),Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,4.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail|Missions modifiées|Mobilité géographique compliquée|Moins de propositions de recrutement|Moins d'offres d'emploi,5.0,,,Oui
Homme,1768549883109980,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,4.0,5.0,Ippon,250 à  4 999 salarié(e)s ,Non,Ippon,Production - Exploitation ,Consultant DevOps,Oui,Télécommunications,,,,35000.0,Non,35000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,Le montant du salaire proposé ,oui,oui,5.0,5.0,4.0,4.0,4.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,,4.0,NON,NON,Oui
Homme,1783429202826460,Oui,,2020,Sous contrat de professionalisation,Sciences et Technologies de l'Eau (STE),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Île-de-France,,5.0,0.0,Wangner Assainissement ,De 10 à 19 salarié(e)s ,Non,,"Méthodes, contrôle de production, maintenance",Metteur en route de station d'epuration ,Non,"Construction, BTP",,,,35000.0,Non,35000.0,NON,NON,NON,OUI,Non,Quotidiennement,,Emploi trouvé avant l'obtention de votre diplôme,Site Internet spécialisé dans l'emploi (dont APEC),L'adéquation avec un projet professionnel ,oui,oui,4.0,4.0,3.0,4.0,5.0,3.0,Non,,Pas du tout d'accord,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,Oui
Homme,1788742361243300,Oui,,2018,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,30.0,0.0,My Wireless System Company,De 10 à 19 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingenieur en systèmes embarqués ,Oui,Recherche-développement scientifique,,,,35000.0,Non,35000.0,NON,NON,NON,OUI,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,5.0,4.0,5.0,3.0,4.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789078902192560,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,6.0,5.0,Idean ,De 50 à 249 salarié(e)s ,Oui,Capgemini ,Informatique industrielle et technique ,Ingénieur Logiciel,Oui,Industrie des technologies de l'Information et de la Communication (TIC),,,,35000.0,Non,35000.0,NON,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,4.0,4.0,4.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,OUI,NON,Oui
Homme,1782779292133910,Oui,,2020,Sous contrat d'apprentissage,Systèmes Embarqués (SE - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Île-de-France,,4.0,5.0,Alstom,5 000 salarié(e)s ou plus,Non,,"Innovation, Propriété industrielle, brevets, transfert de technologie",Verification and Validation Sytem,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Non,35000.0,NON,NON,NON,NON,Oui,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,Candidature spontannée,Le contenu de la mission / poste proposé,oui,oui,4.0,5.0,4.0,3.0,5.0,5.0,,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1782529477607550,Oui,,2019,Sous contrat de professionalisation,Mécanique et Interactions (MI),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,15.0,0.0,CLEO,De 20 à 49 salarié(e)s ,Non,,Pôle projet,Assistant business manager,Oui,"Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...)",,,,35000.0,Non,35000.0,NON,NON,NON,OUI,Oui,Quotidiennement,Quotidiennement,Moins d'un mois,Relations personnelles,Le contenu de la mission / poste proposé,oui,oui,4.0,4.0,3.0,4.0,3.0,5.0,Non,,Plutôt en désaccord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,4.0,,,Oui
Homme,1789312716672770,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Auvergne-Rhône-Alpes,,6.0,5.0,IPPON,250 à  4 999 salarié(e)s ,Non,,,Consultant développeur fullstack,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,35000.0,Oui,35000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,,Réseaux des anciens /association des anciens (polytech Connect),Le lieu géographique ,oui,oui,5.0,5.0,4.0,4.0,5.0,5.0,Non,,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,NON,NON,Oui
Homme,1889471542205030,Oui,,2020,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,7.0,5.0,Idean,De 50 à 249 salarié(e)s ,Oui,Capgemini,Etudes et développement en systèmes d'information ,Ingenieur en developpement,Oui,Industrie des technologies de l'Information et de la Communication (TIC),,,,35000.0,Non,35000.0,NON,,NON,OUI,Non,Quotidiennement,Quotidiennement,Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,4.0,4.0,4.0,4.0,2.0,Non,Mobili,Tout à fait d'accord,,,,,,,,,,,,,,,,,,,,,,,Recours au télétravail,5.0,OUI,NON,Oui
Homme,1788520832919500,Oui,,2018,Sous contrat d'apprentissage,Mécanique Structures Industrielles (MSI - apprentissage),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Nouvelle-Aquitaine,,31.0,0.0,Ponticelli,250 à  4 999 salarié(e)s ,Oui,Ponticelli,Ingénieur d'affaires,Ingénieur d'affaires,Oui,Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements,,,,35000.0,Non,35000.0,OUI,OUI,OUI,OUI,Oui,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,Relations personnelles,Le secteur d'activité de l'entreprise,oui,oui,4.0,4.0,4.0,3.0,4.0,4.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,Missions modifiées,4.0,,,Oui
Homme,1782911049579670,Oui,,2020,Formation initiale (hors apprentissage),Microélectronique Et Automatique (MEA),En activité professionnelle,,,,,,,Non,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Pays de la Loire,,6.0,0.0,Gce electronics,De 10 à 19 salarié(e)s ,Non,,"Recherche-développement, études scientifiques et techniques (autre qu'informatique)",Ingenieur Developpeur c embarqué ,Oui,Autres secteurs ,,C,,35000.0,Non,35000.0,OUI,NON,NON,NON,Non,Quotidiennement,Souvent (plusieurs heures par semaine),Emploi trouvé avant l'obtention de votre diplôme,stage de fin d'études,L'adéquation avec un projet professionnel ,oui,oui,5.0,5.0,5.0,5.0,5.0,5.0,Non,,Plutôt d'accord,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Oui
Homme,1789078793291240,Oui,,2018,Formation initiale (hors apprentissage),Informatique et Gestion (IG),En activité professionnelle,,,,,,,Oui,Salarié(e) secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),,En France,Occitanie,,2.0,5.0,Astek,De 20 à 49 salarié(e)s ,Oui,Astek,Etudes et développement en systèmes d'information ,,Oui,"Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants",,,,35000.0,,35000.0,NON,NON,NON,NON,Non,Quotidiennement,Quotidiennement,De 3 à moins de 4 mois,"Réseau social professionnel (viadéo, Linkedln)",Le contenu de la mission / poste proposé,oui,oui,3.0,5.0,4.0,3.0,3.0,4.0,Non,,Plutôt d'accord,activité professionnelle,Emploi trouvé avant l'obtention de votre diplôme,Salarié(e) du secteur privé (y compris structure associative),CDI (contrat de travail à durée indéterminée),Faillite / Licenciement économique,Développeur Web Junior J2EE,En France,Occitanie,WeAreLearning,De 10 à 19 salarié(e)s ,Non,,"Enseignement, recherche",10.0,Oui,Non,Stage de fin d'études,L'adéquation avec un projet professionnel ,,Non,,2.0,Moins de propositions de recrutement|Prétention salariale revue,4.0,NON,NON,Oui
